"","V1","V2"
"1","My Romance (take 1)","http://open.spotify.com/track/ 2u6gOYRHuN06LMQDHTwUrl"
"2","Ebony Concerto: III. Moderato - Con moto - Moderato - Vivo","http://open.spotify.com/track/ 65LrFZBoDul6CuG1nifqZI"
"3","Symphony No. 98 in B-Flat Major, Hob. I:98: I. Adagio - Allegro","http://open.spotify.com/track/ 0SCfHJoJ30K1dnLC0JPQdb"
"4","Dreamsville","http://open.spotify.com/track/ 3GKtPUsvH8Q3ecj65M3hfO"
"5","Incidental Music to A Midsummer Night's Dream, Op. 61: No. 7, Con moto tranquillo (Nocturne)","http://open.spotify.com/track/ 6vQ3M1R2po35NTXZf39qAo"
"6","Messiah, HWV 56, Pt. 1: Comfort ye, my people - Accompagnato","http://open.spotify.com/track/ 7g9qlh2a2vY6rAnv2B732c"
"7","O Mere Sanam","http://open.spotify.com/track/ 49AuPmipQ4GlXLDYxCqINv"
"8","Panagiotoyla geia soy","http://open.spotify.com/track/ 41JBAoGvaFTKNs8quZ0dLR"
"9","What Is A Man","http://open.spotify.com/track/ 2CV1lGpwIrcJwD4MlHJQBd"
"10","Joy In The Morning","http://open.spotify.com/track/ 2xLfdTDTJued7cFPqGclsk"
"11","Roads to Moscow","http://open.spotify.com/track/ 6hHrwTybYMxQSx35BE6eBW"
"12","Bhuli Kemone Aajo Je Mone","http://open.spotify.com/track/ 5G7kYoIwYE8PBYcotps1JY"
"13","Regard du Père","http://open.spotify.com/track/ 5vqYUspGeSwyPFVGYdiBkl"
"14","Marry The Man Today / Guys And Dolls (Reprise) (from ""Guys & Dolls"")","http://open.spotify.com/track/ 099sWPNYw44xJAAKcXYDmv"
"15","New Age","http://open.spotify.com/track/ 3TS0PSEGYcvQWVPeK2DrWi"
"16","A Mi Manera (My Way)","http://open.spotify.com/track/ 4vJwu5tj6nizdrwraO8oGW"
"17","Chanson Pour Les Petits Enfants","http://open.spotify.com/track/ 5PwHMQyQQupFql2HQqJYbF"
"18","It's Christmas Time / Sleep Well, Little Children","http://open.spotify.com/track/ 4TnZWyyIhf8PdHnEyZEXVs"
"19","The Art of the Fugue, BWV 1080: Contrapunctus II","http://open.spotify.com/track/ 5kqM9RcOxPNjy8o4Xxopc5"
"20","Volverás","http://open.spotify.com/track/ 50tw6xMbbwEbHkGzIVgKf6"
"21","Having Myself a Time - Take 1","http://open.spotify.com/track/ 3PGSCKjWSBq7H5A6KrTO20"
"22","Ida's Summer Song","http://open.spotify.com/track/ 4SZbG1h04TXi6e9JOyjY1z"
"23","Ο χασάπης","http://open.spotify.com/track/ 0bNA897pFOyndfodN42Ec5"
"24","Sukiyaki","http://open.spotify.com/track/ 0cBQbqp5jInL73ZxLBSGlX"
"25","Rokudan: 16th Century Kengyo Yatsuhashi","http://open.spotify.com/track/ 4MQLWKcbObb3JK5iGkJBeL"
"26","April In Paris - Instrumental","http://open.spotify.com/track/ 1dekaiAFUCiG7fgphQyHMA"
"27","33 Piano Variations In C, Op.120 On A Waltz By Anton Diabelli: Variation 2 (Poco allegro)","http://open.spotify.com/track/ 03AWHqEaKBYwPr9nHyejfH"
"28","The Rite of Spring: Part I, The Adoration of the Earth - Procession of the Oldest-and-Wisest","http://open.spotify.com/track/ 6PUwwtWcysKhmBdFBChUTP"
"29","Haragán - Remasterizado","http://open.spotify.com/track/ 4xap1YqsAPfJ1HCFQ81Lq8"
"30","Die Zauberflöte, K. 620, Act I Scene 1: Der Vogelfänger bin ich ja (Papageno)","http://open.spotify.com/track/ 1MsTKPLMqrJrSBgV3Rvfs0"
"31","Some Enchanted Evening - from ""South Pacific, 1949""","http://open.spotify.com/track/ 1mANcjsYwOOSQJdf8dIL1Y"
"32","Cuttin' Capers (with Frank DeVol & His Orchestra)","http://open.spotify.com/track/ 27YKMVCRX8kK5Gj7IDawRn"
"33","TOBIUME","http://open.spotify.com/track/ 5JpfGKhIFJqGYdTf8wlr8q"
"34","Panama - 78 rpm Version","http://open.spotify.com/track/ 37jqt4mzuOlAP4C7vYrt1t"
"35","Memphis In June","http://open.spotify.com/track/ 3o5zjLP3wpXikkm6wswZvO"
"36","La guerre / Son engagement / Croix de guerre / Apollinaire / L'aviateur Roland Garros","http://open.spotify.com/track/ 2SHU1yILLQLTDW1LwM5hgm"
"37","Часть 26.6 & Часть 27.1 - Обратный путь","http://open.spotify.com/track/ 2Cd0zr38EMoUYVOFsIJc0r"
"38","Часть 21.3 & Часть 22.1 - Фиеста","http://open.spotify.com/track/ 0gbyIexJPC3k6ZZFOZn6IG"
"39","Chapter 4.9 - Zamek kaniowski","http://open.spotify.com/track/ 2X4605t2jnVwi3EiUlR02H"
"40","Maai Mahne Sapne Mein","http://open.spotify.com/track/ 5Msbgy6lSbiCVL3oAFG3F8"
"41","Dame Tu Querer","http://open.spotify.com/track/ 301AKZWezGqpEyVfgap6z8"
"42","You, Me And He","http://open.spotify.com/track/ 4e4EjNZodRI8IR1CCO8D8M"
"43","Without Your Love","http://open.spotify.com/track/ 6Oexp3W6bv5LBzsS171iqN"
"44","Guavaberry","http://open.spotify.com/track/ 2Yco1Pd53AeTl3memGqzRQ"
"45","Shut Up And Drive","http://open.spotify.com/track/ 4Tn2llBm1g0UlWctmgPL8Z"
"46","A Hard Day's Night - Remastered 2009","http://open.spotify.com/track/ 1E4FcSqQs7U2RTebCNaYRH"
"47","Vulnerable","http://open.spotify.com/track/ 4JAi20NP5hkUpaKvwtX1nO"
"48","One Day","http://open.spotify.com/track/ 0nCZDQrlWA149QdGTdlsFU"
"49","Long Haired Lady - Remastered 2012","http://open.spotify.com/track/ 6WLcfx5k7piKZWUm1SwFco"
"50","Holy Grail","http://open.spotify.com/track/ 1q9bLSeIlGf2xBvbOkp2Wr"
"51","Gideon's Bible","http://open.spotify.com/track/ 6V5hCx7NS3y6JiS47cHeLV"
"52","Dulhan Chali Saajan Ghar","http://open.spotify.com/track/ 10xIeH3K6n7YNlKDe8QlSb"
"53","Treat Me Right","http://open.spotify.com/track/ 0ahlKSyUanJxT5o7Au3PMT"
"54","CANDY","http://open.spotify.com/track/ 0K25zmumCzn2kFmh9zcLWy"
"55","Jambalaya (On The Bayou)","http://open.spotify.com/track/ 2KJOfVTxWkbtRMGByeEQ7V"
"56","I Believe","http://open.spotify.com/track/ 0CQlHQNolWHDk2Mpk919Uv"
"57","Sittin' On a Rainbow","http://open.spotify.com/track/ 3pPMzGCmyha3CQ30XzvTN0"
"58","Monsieur Malonga","http://open.spotify.com/track/ 39TdLWLrPPqzv1vCEQnIXE"
"59","I Go Blind - 2019 Remaster","http://open.spotify.com/track/ 0ye53FFhP3oRFuaz5Ubcop"
"60","Relationship (feat. Future)","http://open.spotify.com/track/ 25oOaleife6E2MIKmFkPvg"
"61","Fun in Acapulco","http://open.spotify.com/track/ 5C9B3zsNXbkv580YKv67By"
"62","Tooka","http://open.spotify.com/track/ 4wpYhmLPVaPiSGLZmgPoW0"
"63","Hold You - Hold Yuh","http://open.spotify.com/track/ 0j55p8YRAPG8yajtNyjt6A"
"64","Mi Corazón Está Contento","http://open.spotify.com/track/ 4BTnhlmTiQ9XQQTx53myga"
"65","Bo Bo Ska Diddle Daddle","http://open.spotify.com/track/ 0fvsio8Xez5zKa4wUF2p5a"
"66","Watermelon Sugar","http://open.spotify.com/track/ 6UelLqGlWMcVH1E5c4H7lY"
"67","Land of 1000 Dances (Naa, Na, Na, Na, Naa) - Edited Radio Version","http://open.spotify.com/track/ 4V671oKOcpCqAd431DJQ2H"
"68","Full Of Smoke","http://open.spotify.com/track/ 00FR9VQ0uzF4NNxVKKiMz2"
"69","Frosty the Snowman","http://open.spotify.com/track/ 5HtbV8EtYpz5VLEhbKuHSO"
"70","Godzilla","http://open.spotify.com/track/ 6N0AnkdDFZUetw8KAGHV7e"
"71","I Walk the Line","http://open.spotify.com/track/ 1Vr6JSWTpl5MIxUHOJ3nny"
"72","I Will Follow You","http://open.spotify.com/track/ 4Y6pdMS2PwGshq1MYcJ9fC"
"73","Pulling Mussels (From The Shell)","http://open.spotify.com/track/ 45ZLCfy2GWCoihtg4URIn8"
"74","Made Love First","http://open.spotify.com/track/ 21csDNj3WqMPYDzW996UHL"
"75","i hate u, i love u (feat. olivia o'brien)","http://open.spotify.com/track/ 7vRriwrloYVaoAe3a9wJHe"
"76","We Have Heaven - 2003 Remaster","http://open.spotify.com/track/ 6avltRfZeoNa2zWipWNIyp"
"77","Have You Ever","http://open.spotify.com/track/ 54F7O4KzbKJvG79HFxLz3L"
"78","Revenge","http://open.spotify.com/track/ 4X5AMbgW6whnAuDX10fhgq"
"79","City of Love","http://open.spotify.com/track/ 5BRWZIggJTlMdfOifHNLRr"
"80","Arrow Through Me - Remastered 1993","http://open.spotify.com/track/ 3NiYvMjp5A3FZmP3dojS8k"
"81","If You're Ever In Oklahoma","http://open.spotify.com/track/ 5Yysa8sDyeBLRysjOSfJLH"
"82","Secret Lover","http://open.spotify.com/track/ 00lyarD4289QvlInsLDf9z"
"83","Universal Tribulation","http://open.spotify.com/track/ 3YTp7nyxUD4lQiHGfVZdP1"
"84","Turn To Stone","http://open.spotify.com/track/ 20IZ33kPSL7XV0WmKNaZVa"
"85","The American Dream","http://open.spotify.com/track/ 3iIIywVxndUjlVLqnNcVx6"
"86","Raspberry Beret","http://open.spotify.com/track/ 4W9zWGHdrDFygC2Mf1Xmru"
"87","Flying Sorcery","http://open.spotify.com/track/ 3E1SAj6Thfok5UhkgaEMjJ"
"88","Thunderstruck - Live - 1991","http://open.spotify.com/track/ 4f5V6rbtGt67AWtNGRS9vx"
"89","Black Rose","http://open.spotify.com/track/ 1H9LQWU4yHZ5r9j1VowlQ3"
"90","Promised Land","http://open.spotify.com/track/ 2lDArps4owX3Q6rOIA4Osp"
"91","Apple Scruffs - Remastered 2014","http://open.spotify.com/track/ 26sMc53X5ptxM2xgGBROzG"
"92","Spiders","http://open.spotify.com/track/ 7lXQymxqIJLuctNrFAifFS"
"93","2024","http://open.spotify.com/track/ 07UdfUFR3Ku3saas0hOJHL"
"94","Feiticeira","http://open.spotify.com/track/ 0FpYnuKYFJXHAmHbS1CycY"
"95","Don't Give Up","http://open.spotify.com/track/ 2C7V873vI6fomP10lVwcfm"
"96","Eenaati Eehaayi Kalakaad","http://open.spotify.com/track/ 4IFLdjKPujjGKls7QEXjlZ"
"97","Play with Me - Three Imaginary Boys Studio Outtake 10/78","http://open.spotify.com/track/ 1Xq7ard8zsoJL26xlzaomp"
"98","Flores Negras","http://open.spotify.com/track/ 3xrgLEGAvQOTAYZZXfhhWk"
"99","Oh Buddha","http://open.spotify.com/track/ 43wk8W9E7ks61CKsGgY5GD"
"100","One More Cup of Coffee - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening","http://open.spotify.com/track/ 1jEnml0WRXCVbXEXaaYU6E"
